Times,Lick_Signal,Stim_Signal
0.0,0,0
0.03333333333333333,0,0
0.06666666666666667,0,0
0.1,0,0
0.13333333333333333,0,0
0.16666666666666666,0,0
0.2,0,0
0.23333333333333334,0,0
0.26666666666666666,0,0
0.3,0,0
0.3333333333333333,0,0
0.36666666666666664,0,0
0.4,0,0
0.43333333333333335,0,0
0.4666666666666667,0,0
0.5,0,0
0.5333333333333333,0,0
0.5666666666666667,0,0
0.6,0,0
0.6333333333333333,0,0
0.6666666666666666,0,0
0.7,0,0
0.7333333333333333,0,0
0.7666666666666666,0,0
0.8,0,0
0.8333333333333334,0,0
0.8666666666666667,0,0
0.9,0,0
0.9333333333333333,0,0
0.9666666666666667,0,0
1.0,0,0
1.0333333333333332,0,0
1.0666666666666667,0,0
1.1,0,0
1.1333333333333333,0,0
1.1666666666666667,0,0
1.2,0,0
1.2333333333333334,0,0
1.2666666666666666,0,0
1.3,0,0
1.3333333333333333,0,0
1.3666666666666667,0,1
1.4,0,1
1.4333333333333333,0,1
1.4666666666666666,0,1
1.5,0,1
1.5333333333333332,0,1
1.5666666666666667,0,1
1.6,0,1
1.6333333333333333,0,1
1.6666666666666667,0,1
1.7,0,1
1.7333333333333334,0,1
1.7666666666666666,0,1
1.8,0,1
1.8333333333333333,0,0
1.8666666666666667,0,0
1.9,0,0
1.9333333333333333,0,0
1.9666666666666666,0,0
2.0,0,0
2.033333333333333,0,0
2.0666666666666664,0,0
2.1,0,0
2.1333333333333333,0,0
2.1666666666666665,0,0
2.2,0,0
2.2333333333333334,0,0
2.2666666666666666,0,0
2.3,0,0
2.3333333333333335,0,0
2.3666666666666667,0,0
2.4,1,0
2.433333333333333,1,1
2.466666666666667,1,1
2.5,0,0
2.533333333333333,0,1
2.5666666666666664,0,0
2.6,0,1
2.6333333333333333,0,0
2.6666666666666665,0,0
2.7,0,1
2.7333333333333334,0,1
2.7666666666666666,0,0
2.8,0,0
2.8333333333333335,0,1
2.8666666666666667,0,1
2.9,0,1
2.933333333333333,0,1
2.966666666666667,0,1
3.0,0,1
3.033333333333333,0,1
3.0666666666666664,0,1
3.1,0,1
3.1333333333333333,0,1
3.1666666666666665,0,1
3.2,0,1
3.2333333333333334,0,1
3.2666666666666666,0,1
3.3,1,1
3.3333333333333335,1,1
3.3666666666666667,1,1
3.4,1,1
3.433333333333333,1,1
3.466666666666667,1,1
3.5,0,1
3.533333333333333,1,1
3.5666666666666664,1,1
3.6,1,1
3.6333333333333333,1,1
3.6666666666666665,0,1
3.6999999999999997,1,1
3.7333333333333334,1,1
3.7666666666666666,1,1
3.8,1,1
3.8333333333333335,1,1
3.8666666666666667,0,0
3.9,0,0
3.933333333333333,1,0
3.966666666666667,1,0
4.0,1,0
4.033333333333333,1,0
4.066666666666666,0,0
4.1,1,0
4.133333333333333,1,0
4.166666666666667,1,0
4.2,1,0
4.233333333333333,0,0
4.266666666666667,0,0
4.3,0,0
4.333333333333333,1,0
4.366666666666666,1,0
4.4,1,0
4.433333333333334,0,0
4.466666666666667,0,0
4.5,0,0
4.533333333333333,0,0
4.566666666666666,0,0
4.6,0,0
4.633333333333333,0,0
4.666666666666667,0,0
4.7,1,0
4.733333333333333,1,0
4.766666666666667,1,0
4.8,0,0
4.833333333333333,0,0
4.866666666666666,0,0
4.9,0,0
4.933333333333334,0,0
4.966666666666667,0,1
5.0,0,0
5.033333333333333,0,1
5.066666666666666,0,0
5.1,1,0
5.133333333333333,1,1
5.166666666666667,1,0
5.2,0,0
5.233333333333333,1,0
5.266666666666667,1,1
5.3,1,0
5.333333333333333,1,0
5.366666666666666,1,1
5.4,1,0
5.433333333333334,1,0
5.466666666666667,1,1
5.5,1,0
5.533333333333333,1,0
5.566666666666666,1,0
5.6,1,0
5.633333333333333,0,0
5.666666666666667,1,1
5.7,1,0
5.733333333333333,1,0
5.766666666666667,1,1
5.8,0,0
5.833333333333333,0,0
5.866666666666666,0,1
5.9,1,0
5.933333333333334,1,1
5.966666666666667,1,1
6.0,1,0
6.033333333333333,0,0
6.066666666666666,1,0
6.1,1,0
6.133333333333333,1,0
6.166666666666667,1,0
6.2,0,0
6.233333333333333,0,0
6.266666666666667,1,0
6.3,1,0
6.333333333333333,1,0
6.366666666666666,1,0
6.4,0,0
6.433333333333334,0,0
6.466666666666667,0,0
6.5,0,0
6.533333333333333,0,0
6.566666666666666,0,0
6.6,0,0
6.633333333333333,0,0
6.666666666666667,0,0
6.7,0,0
6.733333333333333,0,0
6.766666666666667,0,0
6.8,0,0
6.833333333333333,0,0
6.866666666666666,0,0
6.8999999999999995,0,0
6.933333333333334,0,0
6.966666666666667,0,0
7.0,0,0
7.033333333333333,0,1
7.066666666666666,0,1
7.1,0,0
7.133333333333333,0,1
7.166666666666667,0,0
7.2,0,0
7.233333333333333,0,0
7.266666666666667,0,1
7.3,1,0
7.333333333333333,1,0
7.366666666666666,1,1
7.3999999999999995,1,0
7.433333333333334,1,0
7.466666666666667,1,1
7.5,1,0
7.533333333333333,1,0
7.566666666666666,1,0
7.6,1,0
7.633333333333333,1,0
7.666666666666667,0,1
7.7,1,0
7.733333333333333,1,0
7.766666666666667,1,1
7.8,1,0
7.833333333333333,0,0
7.866666666666666,1,1
7.8999999999999995,1,0
7.933333333333334,1,1
7.966666666666667,1,1
8.0,1,0
8.033333333333333,0,0
8.066666666666666,0,0
8.1,0,0
8.133333333333333,1,0
8.166666666666666,1,0
8.2,0,0
8.233333333333333,0,0
8.266666666666666,0,0
8.3,1,0
8.333333333333334,1,0
8.366666666666667,1,0
8.4,1,0
8.433333333333334,0,0
8.466666666666667,0,0
8.5,0,0
8.533333333333333,1,0
8.566666666666666,1,0
8.6,1,0
8.633333333333333,1,0
8.666666666666666,0,0
8.7,0,0
8.733333333333333,0,0
8.766666666666666,0,0
8.8,0,0
8.833333333333334,0,0
8.866666666666667,0,0
8.9,0,0
8.933333333333334,0,0
8.966666666666667,0,0
9.0,0,0
9.033333333333333,0,0
9.066666666666666,0,1
9.1,0,0
9.133333333333333,0,1
9.166666666666666,0,0
9.2,0,0
9.233333333333333,0,0
9.266666666666666,0,1
9.3,0,0
9.333333333333334,1,0
9.366666666666667,1,1
9.4,1,0
9.433333333333334,1,0
9.466666666666667,1,1
9.5,1,0
9.533333333333333,1,1
9.566666666666666,1,0
9.6,1,0
9.633333333333333,1,0
9.666666666666666,0,1
9.7,1,0
9.733333333333333,1,0
9.766666666666666,1,1
9.8,1,0
9.833333333333334,1,0
9.866666666666667,1,1
9.9,0,0
9.933333333333334,0,1
9.966666666666667,0,1
10.0,1,0
10.033333333333333,1,0
10.066666666666666,1,1
10.1,0,0
10.133333333333333,0,0
10.166666666666666,0,0
10.2,0,0
10.233333333333333,1,0
10.266666666666666,1,0
10.3,1,0
10.333333333333334,1,0
10.366666666666667,0,0
10.4,0,0
10.433333333333334,1,0
10.466666666666667,1,0
10.5,1,0
10.533333333333333,0,0
10.566666666666666,0,0
10.6,0,0
10.633333333333333,0,0
10.666666666666666,0,0
10.7,0,0
10.733333333333333,0,0
10.766666666666666,0,0
10.8,0,0
10.833333333333334,0,0
10.866666666666667,0,0
10.9,0,0
10.933333333333334,0,0
10.966666666666667,0,0
11.0,0,0
11.033333333333333,0,0
11.066666666666666,0,0
11.1,0,0
11.133333333333333,0,1
11.166666666666666,0,0
11.2,0,0
11.233333333333333,0,0
11.266666666666666,0,1
11.3,0,0
11.333333333333334,0,0
11.366666666666667,1,1
11.4,1,0
11.433333333333334,1,0
11.466666666666667,1,1
11.5,1,0
11.533333333333333,1,1
11.566666666666666,1,0
11.6,1,0
11.633333333333333,1,0
11.666666666666666,1,1
11.7,0,0
11.733333333333333,1,0
11.766666666666666,1,1
11.8,1,0
11.833333333333334,0,0
11.866666666666667,0,1
11.9,0,0
11.933333333333334,1,1
11.966666666666667,1,1
12.0,1,0
12.033333333333333,1,0
12.066666666666666,1,1
12.1,1,0
12.133333333333333,0,0
12.166666666666666,0,0
12.2,1,0
12.233333333333333,1,0
12.266666666666666,1,0
12.3,0,0
12.333333333333334,0,0
12.366666666666667,0,0
12.4,0,0
12.433333333333334,1,0
12.466666666666667,1,0
12.5,1,0
12.533333333333333,0,0
12.566666666666666,0,0
12.6,0,0
12.633333333333333,0,0
12.666666666666666,0,0
12.7,0,0
12.733333333333333,0,0
12.766666666666666,0,0
12.8,0,0
12.833333333333334,0,0
12.866666666666667,0,0
12.9,0,0
12.933333333333334,0,0
12.966666666666667,0,0
13.0,0,0
13.033333333333333,0,0
13.066666666666666,0,0
13.1,0,0
13.133333333333333,0,0
13.166666666666666,0,0
13.2,0,0
13.233333333333333,0,0
13.266666666666666,0,1
13.299999999999999,0,0
13.333333333333334,0,0
13.366666666666667,0,1
13.4,0,0
13.433333333333334,1,0
13.466666666666667,1,0
13.5,1,0
13.533333333333333,1,1
13.566666666666666,1,0
