Times,Lick_Signal,Stim_Signal
0.0,0,0
0.016033333333333333,0,0
0.03203333333333334,0,0
0.04796666666666667,0,0
0.06405000000000001,0,0
0.07996666666666667,0,0
0.09603333333333333,0,0
0.11206666666666668,0,0
0.12803333333333333,0,0
0.14408333333333334,0,0
0.16010000000000002,0,0
0.17605,0,0
0.19203333333333333,0,0
0.20808333333333334,0,0
0.22408333333333336,0,0
0.2401,0,0
0.25603333333333333,0,0
0.2720166666666667,0,0
0.3039,0,0
0.3199166666666667,0,0
0.33590000000000003,0,0
0.3519,0,0
0.36791666666666667,0,0
0.3839,0,0
0.39993333333333336,0,0
0.41595000000000004,0,0
0.43193333333333334,0,0
0.4479166666666667,0,0
0.4639166666666667,0,0
0.47995000000000004,0,0
0.49593333333333334,0,0
0.51195,0,0
0.5279666666666667,0,0
0.5439333333333334,0,0
0.5600833333333334,0,0
0.5761000000000001,0,0
0.5920166666666667,0,0
0.6080833333333333,0,0
0.6240666666666667,0,0
0.64025,0,0
0.6559833333333334,0,0
0.67205,0,0
0.6880333333333334,0,0
0.70415,0,0
0.7200166666666667,0,0
0.7359833333333333,0,0
0.7519833333333333,0,0
0.7680499999999999,0,0
0.784,0,0
0.8000333333333334,0,0
0.8161333333333334,0,0
0.8321166666666667,0,0
0.8482666666666667,0,0
0.8643000000000001,0,0
0.8803333333333334,0,0
0.8962833333333333,0,0
0.9279166666666667,0,0
0.9280666666666667,0,0
0.9599166666666668,0,0
0.9759000000000001,0,0
0.9919166666666667,0,0
1.0079666666666667,0,0
1.0239666666666667,0,0
1.0399333333333334,0,0
1.0559166666666666,0,0
1.0719166666666664,0,0
1.0879333333333334,0,0
1.1039666666666668,0,0
1.1200166666666667,0,0
1.1360333333333335,0,0
1.15195,0,0
1.1679666666666668,0,0
1.18395,0,0
1.1999666666666666,0,0
1.2160166666666667,0,0
1.2320666666666666,0,0
1.2481166666666668,0,0
1.2640500000000001,0,0
1.2800333333333334,0,0
1.29595,0,0
1.3119833333333335,0,0
1.3279666666666667,0,0
1.3441666666666667,0,0
1.36005,0,0
1.3760333333333334,0,0
1.3920166666666667,0,0
1.4080666666666668,0,0
1.4240166666666667,0,0
1.4400666666666668,0,0
1.4559833333333334,0,0
1.4720666666666666,0,0
1.488016666666667,0,0
1.5040666666666667,0,0
1.5201166666666668,0,0
1.5360500000000001,0,0
1.5521333333333334,0,0
1.5681666666666667,0,0
1.5841,0,0
1.6001666666666667,0,0
1.6319000000000001,0,0
1.6479833333333334,0,0
1.6639833333333334,0,0
1.6799833333333334,0,0
1.6959333333333335,0,0
1.7119666666666669,0,0
1.7279166666666668,0,0
1.7439666666666667,0,0
1.76,0,0
1.7759166666666668,0,0
1.792,0,0
1.8079833333333335,0,0
1.8239833333333335,0,0
1.8399666666666668,0,0
1.8559666666666668,0,0
1.8720166666666667,0,0
1.8879666666666668,0,0
1.9040166666666667,0,0
1.92005,0,0
1.9359666666666668,0,0
1.95195,0,0
1.9679333333333335,0,0
1.984,0,0
2.0,0,0
2.0160666666666667,0,0
2.0320833333333335,0,0
2.0480333333333336,0,0
2.064016666666667,0,0
2.0800666666666667,0,0
2.096016666666667,0,0
2.1120666666666668,1,0
2.12815,1,0
2.1441,1,0
2.1601666666666666,1,0
2.1761,1,0
2.1921333333333335,1,0
2.2083,1,0
2.2243333333333335,1,0
2.2403666666666666,1,0
2.2561833333333334,1,0
2.2879833333333335,1,0
2.3039666666666667,1,0
2.3199833333333335,1,0
2.3359666666666667,1,0
2.3519833333333335,0,0
2.3679333333333337,0,0
2.3839333333333332,0,0
2.39995,0,0
2.4160166666666667,0,0
2.4319333333333333,0,0
2.4479833333333336,0,0
2.4639833333333336,0,0
2.4799333333333333,0,0
2.4960500000000003,0,0
2.512016666666667,0,0
2.52805,0,0
2.54395,0,0
2.560016666666667,0,0
2.5759833333333333,0,0
2.5921000000000003,0,0
2.6080333333333336,0,0
2.6240833333333335,0,0
2.6401833333333333,0,0
2.656,0,0
2.672066666666667,0,0
2.6881,0,0
2.7040833333333336,0,0
2.7201333333333335,0,0
2.736,0,0
2.7521500000000008,0,0
2.7681666666666667,0,0
2.7841,0,0
2.8001,0,0
2.8160833333333333,0,0
2.8321666666666667,0,0
2.848266666666667,0,0
2.8643333333333336,0,0
2.8803833333333335,0,0
2.8963,0,0
2.9125,0,0
2.9285833333333335,0,0
2.959966666666667,0,0
2.9759833333333336,0,0
2.992,0,0
